depth,time_ms
1,27.9
1,69.18
1,11.82
1,26.85
1,28.14
1,17.72
1,201.33
1,15.86
1,22.54
1,20.27
2,405.29
2,9933.58
2,15.33
2,124.28
2,470.23
2,106.95
2,992.13
2,68.74
3,35758.46
3,14.03
3,27.72
3,11258.84
3,10604.84
3,471.24
3,7512.8
3,102.9
4,15.94
4,3530.92
4,3607.43
4,168.17
4,49.1
4,33.99
4,73.89
4,265609.14
4,367.89
