depth,time_ms
1,13.6
1,11.49
1,7.68
1,12.24
1,15.22
1,55.5
1,8.63
1,26.22
1,8.84
1,11.28
2,11.35
2,32.47
2,14.0
2,37.39
2,7.67
2,10.52
2,7.2
2,24.07
2,24.53
2,6.64
3,12.9
3,8.44
3,8.68
3,9.46
3,9.59
3,15.74
3,38.15
3,40.92
3,10.91
3,608.9
