constant,time_ms
0,5.371452427934855
50,6.48097422614228
100,7.930567530565895
150,9.106494998559356
200,9.446810001973063
250,11.800771309644915
300,14.179492523544468
350,12.843970549292862
400,16.345430439105257
450,14.56898875941988
500,14.956693380372599
550,16.007564186584204
600,16.600009209942073
650,15.498787069227546
700,15.060548796318471
750,13.746432486223057
800,14.85417460789904
850,14.73561204969883
900,16.216955347917974
