constant,num_states
0,11.97
50,23.96
100,30.41
150,35.13
200,38.15
250,41.42
300,43.6
350,44.46
400,46.21
450,47.71
500,49.22
550,48.49
600,50.44
650,50.6
700,53.06
750,54.01
800,54.39
850,55.85
900,54.22
